feature,importance
ward_Maghojea,0.0014324013609439135
ward_Makuro,0.0013009356334805489
ward_Malolo,0.0011085002915933728
ward_Manchali,0.0024169699754565954
ward_Masakta,0.001673433231189847
ward_Mbuyuni,0.0005948532489128411
ward_Mkamba,0.000374917930457741
ward_Mlimba,0.003692044410854578
ward_Njengwa,0.0013240864500403404
ward_Nkoaranga,0.004444519057869911
ward_Nkoma,0.001868063467554748
ward_Nkungulu,0.004319927655160427
ward_Nyabubinza,0.0008124303421936929
ward_Old Moshi Mashariki,0.0017922853585332632
ward_Pahi,0.003640105715021491
ward_Songwa,0.002372811548411846
ward_Utengule Usongwe,0.0006358346436172724
ward_Wanging'ombe,0.0005897349328733981
ward_Zagayu,0.00021502739400602877
permit_False,0.003191577736288309
permit_True,0.004701158497482538
payment_never pay,0.010320705361664295
