iter	Passed	Remaining
646	43510	97714
647	43589	97672
648	43664	97621
649	43740	97574
650	43809	97512
651	43872	97435
652	43932	97350
653	43992	97268
654	44054	97187
655	44119	97115
656	44180	97035
657	44247	96968
658	44324	96922
659	44394	96860
660	44504	96886
661	44589	96858
662	44687	96857
663	44798	96883
664	44922	96938
665	45012	96917
666	45096	96885
667	45179	96852
668	45282	96859
669	45397	96893
670	45497	96894
671	45565	96826
672	45647	96788
673	45737	96768
674	45810	96711
675	45877	96641
676	45942	96568
677	46006	96491
678	46083	96443
679	46154	96380
680	46220	96309
681	46285	96235
682	46355	96173
683	46420	96099
684	46498	96051
685	46573	95998
686	46652	95954
687	46730	95905
688	46791	95825
689	46857	95752
690	46950	95736
691	47049	95730
692	47134	95698
693	47199	95622
694	47262	95544
695	47326	95469
696	47387	95386
697	47447	95302
698	47510	95225
699	47574	95149
700	47642	95081
701	47713	95018
702	47779	94946
703	47849	94883
704	47907	94796
705	47974	94725
706	48048	94669
707	48117	94603
708	48180	94526
709	48253	94467
710	48330	94417
711	48395	94344
712	48461	94271
713	48523	94193
714	48590	94122
715	48651	94041
716	48724	93983
717	48787	93904
718	48849	93826
719	48915	93755
720	48977	93676
721	49043	93603
722	49107	93528
723	49171	93452
724	49235	93378
725	49301	93305
726	49363	93227
727	49431	93159
728	49495	93084
729	49559	93009
730	49619	92925
731	49682	92849
732	49748	92776
733	49814	92706
734	49877	92629
735	49938	92548
736	50005	92480
737	50100	92461
738	50173	92402
739	50244	92340
740	50311	92271
741	50369	92185
742	50430	92104
743	50487	92016
744	50543	91928
745	50602	91843
746	50669	91775
747	50745	91721
748	50820	91667
749	50894	91610
750	50958	91534
751	51018	91453
752	51078	91372
753	51139	91291
754	51196	91203
755	51255	91120
756	51319	91047
757	51384	90972
758	51447	90897
759	51514	90828
760	51584	90764
761	51649	90691
762	51711	90614
763	51772	90534
764	51833	90455
765	51918	90417
766	51993	90362
767	52059	90290
768	52124	90218
769	52183	90135
770	52245	90058
771	52307	89978
772	52370	89903
773	52434	89828
774	52496	89752
775	52556	89671
776	52621	89598
777	52680	89517
778	52743	89440
779	52804	89362
780	52865	89282
781	52942	89230
782	53025	89188
783	53102	89135
784	53171	89071
785	53236	88998
786	53303	88930
787	53369	88858
788	53426	88774
789	53484	88689
790	53540	88603
791	53596	88515
792	53653	88429
793	53711	88346
794	53767	88260
795	53824	88174
796	53892	88107
797	53949	88023
798	54013	87948
799	54085	87889
800	54151	87818
801	54214	87743
802	54274	87663
803	54333	87582
804	54396	87507
805	54455	87425
806	54514	87344
807	54574	87264
808	54634	87185
809	54698	87112
810	54759	87034
811	54824	86962
812	54882	86880
813	54941	86800
814	55002	86721
815	55064	86645
816	55126	86569
817	55187	86491
818	55247	86412
819	55305	86330
820	55364	86249
821	55421	86165
822	55478	86082
823	55539	86005
824	55598	85924
825	55659	85848
826	55720	85770
827	55780	85691
828	55838	85609
829	55896	85527
830	55954	85447
831	56013	85366
832	56071	85284
833	56132	85208
834	56194	85133
835	56256	85058
836	56317	84980
837	56375	84900
838	56439	84828
839	56525	84787
840	56591	84718
841	56656	84648
842	56716	84570
843	56786	84506
844	56849	84432
845	56907	84352
846	56963	84268
847	57018	84182
848	57076	84102
849	57130	84015
850	57190	83938
851	57268	83885
852	57327	83807
853	57402	83751
854	57469	83683
855	57537	83617
856	57595	83537
857	57654	83457
858	57709	83373
859	57763	83286
860	57816	83199
861	57869	83112
862	57924	83027
863	57982	82946
864	58034	82858
865	58093	82780
866	58157	82707
867	58223	82640
868	58287	82567
869	58360	82508
870	58432	82448
871	58499	82382
872	58568	82318
873	58632	82245
874	58697	82176
875	58756	82097
876	58810	82013
877	58865	81929
878	58921	81846
879	58974	81760
880	59030	81677
881	59086	81595
882	59144	81516
883	59198	81431
884	59255	81350
885	59310	81267
886	59365	81184
887	59419	81100
888	59476	81019
889	59529	80933
890	59584	80849
891	59640	80768
892	59696	80686
893	59750	80603
894	59808	80524
895	59871	80452
896	59940	80388
897	60003	80317
898	60076	80257
899	60145	80193
900	60210	80124
901	60277	80058
902	60348	79997
903	60407	79919
904	60464	79840
905	60528	79769
906	60604	79714
907	60675	79653
908	60748	79595
909	60810	79521
910	60862	79434
911	60915	79350
912	60969	79266
913	61021	79180
914	61074	79096
915	61132	79018
916	61189	78938
917	61243	78855
918	61299	78774
919	61355	78695
920	61411	78614
921	61469	78536
922	61520	78450
923	61575	78368
924	61632	78289
925	61690	78212
926	61757	78145
927	61825	78081
928	61893	78015
929	61966	77957
930	62031	77888
931	62096	77820
932	62164	77754
933	62230	77687
934	62304	77631
935	62374	77568
936	62438	77497
937	62496	77420
938	62553	77343
939	62608	77261
940	62665	77182
941	62721	77103
942	62777	77023
943	62832	76943
944	62885	76859
945	62933	76770
946	62989	76691
947	63046	76613
948	63102	76533
949	63161	76459
950	63215	76376
951	63271	76298
952	63327	76218
953	63379	76135
954	63434	76055
955	63492	75978
956	63547	75898
957	63604	75820
958	63656	75737
959	63712	75659
960	63768	75579
961	63822	75498
962	63879	75421
963	63936	75343
964	63990	75263
965	64044	75182
966	64096	75099
967	64148	75016
968	64203	74937
969	64258	74857
970	64309	74774
971	64367	74698
972	64425	74621
973	64479	74542
974	64530	74458
975	64587	74382
976	64657	74319
977	64726	74256
978	64797	74195
979	64869	74136
980	64938	74073
981	65007	74011
982	65067	73937
983	65123	73859
984	65178	73781
985	65233	73701
986	65286	73620
987	65339	73539
988	65394	73461
989	65455	73389
990	65521	73323
991	65592	73262
992	65665	73203
993	65724	73129
994	65780	73052
995	65836	72974
996	65892	72898
997	65944	72816
998	66001	72740
999	66056	72662
1000	66125	72599
1001	66196	72538
1002	66269	72479
1003	66337	72416
1004	66398	72345
1005	66453	72266
1006	66506	72186
1007	66562	72108
1008	66617	72031
1009	66675	71956
1010	66730	71878
1011	66786	71802
1012	66841	71723
1013	66900	71650
1014	66956	71574
1015	67014	71499
1016	67072	71425
1017	67128	71348
1018	67183	71271
1019	67235	71190
1020	67291	71114
1021	67348	71038
1022	67401	70958
1023	67455	70880
1024	67510	70803
1025	67565	70726
1026	67621	70650
1027	67678	70574
1028	67732	70497
1029	67789	70421
1030	67856	70357
1031	67930	70299
1032	68004	70242
1033	68075	70181
1034	68146	70121
1035	68221	70065
1036	68302	70015
1037	68382	69963
1038	68447	69897
1039	68519	69837
1040	68587	69773
1041	68655	69709
1042	68709	69631
1043	68766	69557
1044	68820	69478
