iter	Accuracy	MultiClass
532	0.8243602694	0.4446779009
533	0.8244781145	0.4445304341
534	0.8245959596	0.4443163169
535	0.8246969697	0.4441574683
536	0.825016835	0.4439268073
537	0.8251515152	0.4437698657
538	0.8251515152	0.4437265893
539	0.8251515152	0.4434399381
540	0.8252020202	0.4433047337
541	0.8253030303	0.4430241234
542	0.8254882155	0.4428618478
543	0.8257070707	0.4426913226
544	0.8257239057	0.4425182177
545	0.8257575758	0.4423614609
546	0.8258249158	0.4422570709
547	0.826010101	0.4421831107
548	0.8261616162	0.4418910012
549	0.825993266	0.4417360447
550	0.8261952862	0.4415360303
551	0.8264309764	0.4412453699
552	0.8265319865	0.4410730033
553	0.8266666667	0.440948983
554	0.8266329966	0.4408364617
555	0.8267508418	0.4406473086
556	0.8267171717	0.4405222223
557	0.8267676768	0.4403799289
558	0.8267003367	0.4402857519
559	0.8266666667	0.4401315281
560	0.8265993266	0.4400285392
561	0.8266329966	0.4399077363
562	0.826969697	0.4396778579
563	0.8270875421	0.4394916729
564	0.8271212121	0.4393223931
565	0.8271212121	0.4391600809
566	0.8273400673	0.4389684136
567	0.8274747475	0.43881201
568	0.8274747475	0.4387434721
569	0.8275252525	0.4384499611
570	0.8275252525	0.4382871216
571	0.8276936027	0.4381335642
572	0.8277272727	0.4379416734
573	0.8278956229	0.4377585091
574	0.8278787879	0.4375715477
575	0.827962963	0.4372986506
576	0.8281481481	0.4370492546
577	0.8281986532	0.4369394333
578	0.8282154882	0.4367264091
579	0.8283670034	0.4365181441
580	0.8284006734	0.4364338578
581	0.8284343434	0.4362063693
582	0.8285016835	0.4360201172
583	0.8286531987	0.435836642
584	0.8286700337	0.4357750323
585	0.8287542088	0.4356617621
586	0.8288215488	0.4355419006
587	0.8288720539	0.4352832115
588	0.8289225589	0.4351716709
589	0.8288720539	0.4350339956
590	0.829023569	0.4347975225
591	0.8290572391	0.43461478
592	0.8291582492	0.4344737711
593	0.8291919192	0.4343534965
594	0.8293265993	0.4341565028
595	0.8293771044	0.4339286574
596	0.8294276094	0.4338023857
597	0.8294612795	0.4336409117
598	0.8296127946	0.4334609951
599	0.8295791246	0.4333586094
600	0.8297474747	0.4332129403
601	0.8296969697	0.4330852065
602	0.8297474747	0.4329448875
603	0.8298653199	0.4328309205
604	0.8301515152	0.4326255855
605	0.8302188552	0.4325253717
606	0.8302525253	0.4324083406
607	0.8301346801	0.4321413596
608	0.8301683502	0.4319347805
609	0.8302188552	0.4317929573
610	0.8302525253	0.4317370023
611	0.8302356902	0.4316370629
612	0.8302525253	0.4315537191
613	0.8304713805	0.4311539723
614	0.8304882155	0.4310947201
615	0.8304208754	0.4310112436
616	0.8304040404	0.430897535
617	0.8303703704	0.4307340897
618	0.8303703704	0.4305410299
619	0.8303872054	0.4304333353
620	0.8304040404	0.4303144841
621	0.8305723906	0.4301335148
622	0.8305218855	0.4298938905
623	0.8305387205	0.4297828073
624	0.8305892256	0.4295853875
625	0.8307912458	0.4293290043
626	0.8308249158	0.429186244
627	0.831043771	0.4290003061
628	0.8311111111	0.4288904987
629	0.8311952862	0.4286837508
630	0.8311111111	0.4284846825
631	0.8312794613	0.4284033918
632	0.8313468013	0.4283029413
633	0.8314309764	0.4279742962
634	0.8315319865	0.4278040625
635	0.8316329966	0.4276098825
636	0.8316498316	0.4275405913
637	0.8317508418	0.427444022
638	0.8319023569	0.4272348831
639	0.8319360269	0.4271502586
640	0.831986532	0.4269426202
641	0.8320538721	0.4268001471
642	0.831969697	0.4266594982
643	0.832037037	0.4265362642
644	0.832020202	0.4263468982
645	0.8321548822	0.4261812829
646	0.8322053872	0.426019135
647	0.8323232323	0.425915615
648	0.8324410774	0.4257189438
649	0.8324915825	0.4256182469
650	0.8326262626	0.4254138834
651	0.8326599327	0.4252640605
652	0.8326599327	0.4251732728
653	0.8327777778	0.4250521921
654	0.8328451178	0.4249202087
655	0.832979798	0.4246928599
656	0.8328451178	0.4245974004
657	0.8329461279	0.4244988445
658	0.832996633	0.424411601
659	0.8330808081	0.4242172819
660	0.833030303	0.4240758069
661	0.8329292929	0.4240215103
662	0.8330639731	0.4238355041
663	0.8331986532	0.4236174122
664	0.833013468	0.4234354927
665	0.8331649832	0.4232612223
666	0.8332659933	0.4231407769
667	0.8332659933	0.4230191782
668	0.8332323232	0.4228870132
669	0.8333838384	0.4227426389
670	0.8335521886	0.4225859714
671	0.8335858586	0.4224891304
672	0.8337710438	0.4224027753
673	0.8337373737	0.4222536436
674	0.8337205387	0.4220520358
675	0.8337710438	0.4219424866
676	0.8338047138	0.4218246664
677	0.833956229	0.4216904673
678	0.8338888889	0.4215127545
679	0.834006734	0.4212675151
680	0.8341245791	0.4210172098
681	0.8341414141	0.4208671784
682	0.8342760943	0.4206542876
683	0.8344107744	0.4204134002
684	0.8344949495	0.4201668781
685	0.8345622896	0.4199634723
686	0.8346969697	0.4198539324
687	0.8347306397	0.4197628906
688	0.8347979798	0.4196481392
689	0.8348148148	0.4196169607
690	0.83503367	0.419420808
691	0.83503367	0.4193512
692	0.8352861953	0.419228512
693	0.8353535354	0.4191441716
694	0.8353535354	0.4190789781
695	0.8353367003	0.4189078401
696	0.8354377104	0.4188258619
697	0.8354208754	0.4187138914
698	0.8355050505	0.4186055918
699	0.8355218855	0.4185184816
700	0.8355050505	0.4183178488
701	0.8355555556	0.4181937476
702	0.8354882155	0.4181089929
703	0.8355555556	0.4178961225
704	0.8356734007	0.4177951048
705	0.8356734007	0.4175890336
706	0.8357239057	0.4174640435
707	0.8357070707	0.4173629532
708	0.8357070707	0.4173289729
709	0.8361279461	0.4171442886
710	0.8361111111	0.4170910637
711	0.8361279461	0.4170349978
712	0.8361447811	0.4168489431
713	0.8362457912	0.4167230154
714	0.8364478114	0.4165014783
715	0.8364983165	0.4163186164
716	0.8365319865	0.4161534878
717	0.8365319865	0.4160912622
718	0.8367171717	0.416035307
719	0.8368855219	0.4158872733
720	0.8368855219	0.415749175
721	0.8367845118	0.4156500748
722	0.8368855219	0.4155373141
723	0.837003367	0.4154594184
724	0.8370538721	0.4153304397
725	0.8371212121	0.4151315555
726	0.8371885522	0.4149858149
727	0.8373232323	0.4148831754
728	0.8374242424	0.4147953421
729	0.8374410774	0.4145483617
730	0.8374747475	0.4142402373
731	0.8376936027	0.4140674128
732	0.8377104377	0.4140188276
733	0.8377104377	0.4138857642
734	0.837962963	0.4137651392
735	0.837979798	0.4136119514
736	0.8381649832	0.4134368993
737	0.8381144781	0.4132730484
738	0.8381818182	0.413109676
739	0.8382491582	0.4129866966
740	0.8383333333	0.412907248
741	0.8383164983	0.4126864809
742	0.8384511785	0.4124909589
743	0.8385016835	0.4122680972
744	0.8384848485	0.4121821562
745	0.8384848485	0.4121047075
746	0.8386700337	0.4120200538
747	0.8385690236	0.4118748371
748	0.8385185185	0.4117938495
749	0.8386195286	0.4116328401
750	0.8385690236	0.411520193
751	0.8386195286	0.4114459361
752	0.8387710438	0.4113565946
753	0.8389393939	0.4112005887
754	0.838989899	0.4111284595
755	0.8389393939	0.4109328982
756	0.839006734	0.4108413833
757	0.838956229	0.41073137
758	0.8388888889	0.4106120028
759	0.839023569	0.4104554956
760	0.8391077441	0.4103983072
761	0.8392424242	0.4101738424
762	0.8393265993	0.4100129325
763	0.8393602694	0.4098186153
764	0.8393602694	0.4096390968
765	0.8395791246	0.4095205473
766	0.8395454545	0.4092726623
767	0.8395959596	0.4092052928
768	0.8397474747	0.4090713611
769	0.8398148148	0.4089235556
770	0.8398484848	0.4088370702
771	0.8399326599	0.4086846661
772	0.8399158249	0.408615368
773	0.84	0.4085230162
774	0.8401178451	0.4083578781
775	0.8401683502	0.4081446764
776	0.8401683502	0.4080149134
777	0.8403367003	0.4079174134
778	0.8402861953	0.4077897941
779	0.8404882155	0.4075479566
780	0.8405050505	0.407421266
781	0.8405050505	0.4073674762
782	0.8404713805	0.4073010289
783	0.8408417508	0.4071092892
784	0.840976431	0.4069805413
785	0.840993266	0.4067828707
786	0.841026936	0.4066671898
787	0.8410606061	0.4065861616
788	0.841043771	0.4064909662
789	0.8412626263	0.4062548483
790	0.8413299663	0.4061006011
791	0.8413299663	0.4059985873
792	0.8413468013	0.4058848438
793	0.8412626263	0.4057725737
794	0.8414309764	0.4056046747
795	0.8414814815	0.4054313094
796	0.8415319865	0.4053857859
797	0.8417003367	0.4052264814
798	0.8419360269	0.4050635717
799	0.8418686869	0.4048752131
800	0.842020202	0.4046792042
801	0.842003367	0.4046260369
802	0.842037037	0.4044904779
803	0.842037037	0.4043837577
804	0.8421380471	0.4043128285
805	0.8422727273	0.4041663838
806	0.8422053872	0.4040710979
807	0.8422390572	0.4040138641
808	0.8422222222	0.403875123
809	0.8422895623	0.4037517487
810	0.8423905724	0.4036029503
811	0.8423737374	0.4035437977
812	0.8423063973	0.4034455382
813	0.8422727273	0.4033682761
814	0.8424747475	0.4032407789
815	0.8424915825	0.403116979
816	0.8424747475	0.4029953543
817	0.8425589226	0.402920796
818	0.8426430976	0.4028448731
819	0.8428114478	0.4027112825
820	0.8428451178	0.4025782135
821	0.8428619529	0.4025274153
822	0.8428619529	0.4023779447
823	0.8430808081	0.4022552559
824	0.842979798	0.4021103115
825	0.8430976431	0.4020618207
826	0.8431144781	0.4020031731
827	0.8431313131	0.4019206964
828	0.8430976431	0.4018198269
829	0.8430808081	0.4017814182
830	0.8430976431	0.4017095603
831	0.8431313131	0.4016536251
832	0.8431818182	0.4015680035
833	0.8432154882	0.4014853979
834	0.8432154882	0.4013785489
835	0.8432154882	0.4012300021
836	0.8431313131	0.4011212393
837	0.8430976431	0.401013374
838	0.8430808081	0.4009639038
839	0.8431649832	0.4008646924
840	0.8431144781	0.4008002239
841	0.8433501684	0.4005219469
842	0.8433670034	0.4004323373
843	0.8435858586	0.4002942293
844	0.8436026936	0.4002286407
845	0.8437037037	0.4001045033
846	0.8437878788	0.3999603996
847	0.8438888889	0.3998860589
848	0.8438552189	0.3997439858
849	0.8438552189	0.3996257159
850	0.844006734	0.3995466426
851	0.843989899	0.3995131873
852	0.843989899	0.3993956689
853	0.843973064	0.3991945674
854	0.844023569	0.3991165563
855	0.8440909091	0.3990344352
856	0.844023569	0.398909802
857	0.8441077441	0.3987585228
858	0.8441245791	0.3986369044
859	0.8441077441	0.3984531797
860	0.8442424242	0.398364882
861	0.8442087542	0.3982458959
862	0.8442929293	0.3980387115
863	0.8444444444	0.3979349109
864	0.8444612795	0.3978071795
865	0.8444276094	0.3976814854
866	0.8443939394	0.3975718154
867	0.8444276094	0.3974992824
868	0.8444612795	0.3974313955
869	0.8446127946	0.3972792597
870	0.8446969697	0.3972011477
871	0.8448148148	0.3971306775
872	0.8448821549	0.3969251945
873	0.8448653199	0.3967979861
874	0.8448989899	0.3967034207
875	0.845016835	0.39654866
876	0.8451346801	0.3963918276
877	0.8450673401	0.3962811023
878	0.84503367	0.3961290995
879	0.8451346801	0.3960068723
880	0.8451851852	0.3958862573
881	0.8452861953	0.3957857088
